#(w-mu)    jm_3by2_m3by2     jm_3by2_3by2     jm_3by2_m1by2       jm_3by2_1by2     jm_1by2_m1by2   jm_1by2_1by2
-20       0.000784847      0.00284858      0.0113194      0.0537429      0.00369896      0.0172437      
-19.995       0.000788502      0.00286603      0.0110862      0.0551056      0.00362483      0.0176791      
-19.99       0.000792183      0.00288365      0.0108604      0.0565831      0.00355303      0.0181513      
-19.985       0.000795891      0.00290144      0.0106416      0.058184      0.00348347      0.018663      
-19.98       0.000799626      0.00291942      0.0104295      0.0599184      0.00341605      0.0192173      
-19.975       0.000803388      0.00293756      0.0102238      0.061797      0.00335068      0.0198178      
-19.97       0.000807178      0.00295589      0.0100244      0.0638324      0.00328729      0.0204684      
-19.965       0.000810996      0.00297441      0.00983084      0.0660383      0.0032258      0.0211736      
-19.96       0.000814842      0.00299311      0.00964304      0.0684304      0.00316612      0.0219384      
-19.955       0.000818717      0.003012      0.00946073      0.0710263      0.0031082      0.0227683      
-19.95       0.00082262      0.00303107      0.0092837      0.0738459      0.00305196      0.0236698      
-19.945       0.000826552      0.00305035      0.00911175      0.0769118      0.00299734      0.02465      
-19.94       0.000830514      0.00306982      0.00894469      0.0802497      0.00294428      0.0257172      
-19.935       0.000834505      0.00308948      0.00878234      0.0838888      0.00289272      0.0268808      
-19.93       0.000838526      0.00310936      0.00862451      0.0878627      0.0028426      0.0281514      
-19.925       0.000842577      0.00312943      0.00847105      0.0922099      0.00279387      0.0295415      
-19.92       0.000846659      0.00314972      0.00832179      0.0969747      0.00274648      0.0310651      
-19.915       0.000850771      0.00317021      0.00817659      0.102208      0.00270039      0.0327386      
-19.91       0.000854915      0.00319092      0.00803529      0.10797      0.00265554      0.0345811      
-19.905       0.00085909      0.00321185      0.00789777      0.114331      0.0026119      0.0366149      
-19.9       0.000863297      0.00323299      0.00776388      0.12137      0.00256941      0.0388659      
-19.895       0.000867536      0.00325437      0.00763351      0.129185      0.00252804      0.041365      
-19.89       0.000871807      0.00327596      0.00750652      0.137889      0.00248776      0.0441484      
-19.885       0.000876111      0.00329779      0.00738281      0.147618      0.00244852      0.0472595      
-19.88       0.000880448      0.00331985      0.00726227      0.158534      0.00241028      0.0507504      
-19.875       0.000884819      0.00334215      0.00714478      0.170834      0.00237303      0.0546836      
-19.87       0.000889223      0.00336469      0.00703024      0.184755      0.00233671      0.0591356      
-19.865       0.000893662      0.00338748      0.00691856      0.200591      0.0023013      0.0641997      
-19.86       0.000898135      0.00341051      0.00680965      0.218703      0.00226678      0.0699916      
-19.855       0.000902642      0.0034338      0.0067034      0.239541      0.00223311      0.0766554      
-19.85       0.000907185      0.00345734      0.00659975      0.263673      0.00220026      0.0843727      
-19.845       0.000911764      0.00348114      0.0064986      0.291822      0.00216821      0.0933748      
-19.84       0.000916378      0.00350521      0.00639987      0.324922      0.00213694      0.10396      
-19.835       0.000921029      0.00352954      0.0063035      0.364191      0.00210641      0.116518      
-19.83       0.000925716      0.00355415      0.0062094      0.411245      0.00207662      0.131565      
-19.825       0.000930441      0.00357903      0.0061175      0.468261      0.00204752      0.149799      
-19.82       0.000935203      0.00360419      0.00602774      0.538232      0.0020191      0.172176      
-19.815       0.000940003      0.00362964      0.00594005      0.625349      0.00199135      0.200035      
-19.81       0.000944841      0.00365537      0.00585437      0.735627      0.00196424      0.235302      
-19.805       0.000949718      0.00368141      0.00577064      0.877929      0.00193774      0.28081      
-19.8       0.000954634      0.00370774      0.0056888      1.06572      0.00191185      0.340865      
-19.795       0.000959589      0.00373437      0.00560879      1.32019      0.00188655      0.422244      
-19.79       0.000964585      0.00376131      0.00553057      1.67607      0.00186181      0.536053      
-19.785       0.000969621      0.00378857      0.00545407      2.19297      0.00183763      0.701357      
-19.78       0.000974697      0.00381615      0.00537925      2.97876      0.00181398      0.95265      
-19.775       0.000979815      0.00384405      0.00530606      4.23958      0.00179085      1.35586      
-19.77       0.000984975      0.00387228      0.00523445      6.38642      0.00176823      2.04241      
-19.765       0.000990177      0.00390084      0.00516438      10.2133      0.00174609      3.26625      
-19.76       0.000995421      0.00392974      0.00509581      16.6915      0.00172444      5.33795      
-19.755       0.00100071      0.003959      0.00502869      23.4666      0.00170325      7.50463      
-19.75       0.00100604      0.0039886      0.00496298      21.7228      0.0016825      6.94696      
-19.745       0.00101142      0.00401856      0.00489865      14.2509      0.0016622      4.55745      
-19.74       0.00101683      0.00404888      0.00483565      8.69524      0.00164232      2.78077      
-19.735       0.0010223      0.00407958      0.00477395      5.54001      0.00162286      1.77173      
-19.73       0.00102781      0.00411065      0.00471352      3.7506      0.00160381      1.19948      
-19.725       0.00103337      0.0041421      0.00465432      2.6788      0.00158514      0.856722      
-19.72       0.00103897      0.00417394      0.00459632      1.99813      0.00156686      0.639045      
-19.715       0.00104462      0.00420618      0.00453948      1.54311      0.00154895      0.493532      
-19.71       0.00105032      0.00423882      0.00448378      1.22559      0.0015314      0.391992      
-19.705       0.00105606      0.00427188      0.00442919      0.995985      0.00151421      0.318563      
-19.7       0.00106186      0.00430535      0.00437567      0.824923      0.00149736      0.263858      
-19.695       0.0010677      0.00433924      0.00432321      0.694241      0.00148084      0.222066      
-19.69       0.0010736      0.00437357      0.00427176      0.592253      0.00146465      0.18945      
-19.685       0.00107954      0.00440834      0.00422132      0.511184      0.00144878      0.163525      
-19.68       0.00108554      0.00444355      0.00417184      0.445711      0.00143323      0.142587      
-19.675       0.00109158      0.00447922      0.00412331      0.392093      0.00141797      0.12544      
-19.67       0.00109768      0.00451536      0.00407571      0.347642      0.00140301      0.111224      
-19.665       0.00110383      0.00455197      0.004029      0.310388      0.00138833      0.0993104      
-19.66       0.00111004      0.00458905      0.00398318      0.278861      0.00137394      0.089228      
-19.655       0.0011163      0.00462663      0.00393821      0.251946      0.00135982      0.080621      
-19.65       0.00112261      0.00466471      0.00389408      0.228789      0.00134597      0.0732152      
-19.645       0.00112898      0.0047033      0.00385076      0.208721      0.00133237      0.0667974      
-19.64       0.0011354      0.00474241      0.00380824      0.191216      0.00131904      0.0611996      
-19.635       0.00114189      0.00478204      0.0037665      0.175857      0.00130595      0.0562877      
-19.63       0.00114843      0.00482222      0.00372551      0.162306      0.0012931      0.0519542      
-19.625       0.00115502      0.00486294      0.00368527      0.15029      0.00128049      0.0481115      
-19.62       0.00116168      0.00490422      0.00364575      0.139586      0.00126811      0.0446884      
-19.615       0.00116839      0.00494606      0.00360694      0.130009      0.00125596      0.0416256      
-19.61       0.00117517      0.00498849      0.00356881      0.121406      0.00124403      0.0388744      
-19.605       0.001182      0.00503151      0.00353136      0.113649      0.00123231      0.0363938      
-19.6       0.0011889      0.00507514      0.00349457      0.10663      0.0012208      0.0341492      
-19.595       0.00119586      0.00511938      0.00345843      0.100259      0.0012095      0.0321117      
-19.59       0.00120288      0.00516425      0.00342291      0.0944575      0.0011984      0.0302564      
-19.585       0.00120997      0.00520975      0.00338801      0.0891597      0.0011875      0.0285622      
-19.58       0.00121712      0.00525591      0.0033537      0.0843086      0.00117679      0.0270109      
-19.575       0.00122433      0.00530274      0.00331999      0.0798553      0.00116627      0.0255867      
-19.57       0.00123161      0.00535024      0.00328685      0.0757571      0.00115593      0.0242761      
-19.565       0.00123896      0.00539844      0.00325428      0.0719771      0.00114577      0.0230673      
-19.56       0.00124638      0.00544734      0.00322225      0.068483      0.00113579      0.02195      
-19.555       0.00125386      0.00549697      0.00319076      0.0652466      0.00112598      0.020915      
-19.55       0.00126142      0.00554733      0.0031598      0.0622429      0.00111634      0.0199544      
-19.545       0.00126904      0.00559845      0.00312935      0.05945      0.00110687      0.0190613      
-19.54       0.00127674      0.00565033      0.00309941      0.0568485      0.00109755      0.0182294      
-19.535       0.00128451      0.005703      0.00306996      0.0544212      0.00108839      0.0174531      
-19.53       0.00129235      0.00575646      0.00304099      0.0521527      0.00107939      0.0167277      
-19.525       0.00130026      0.00581075      0.0030125      0.0500294      0.00107054      0.0160487      
-19.52       0.00130825      0.00586587      0.00298446      0.048039      0.00106184      0.0154122      
-19.515       0.00131632      0.00592184      0.00295689      0.0461706      0.00105328      0.0148147      
-19.51       0.00132446      0.00597868      0.00292975      0.0444142      0.00104486      0.0142531      
-19.505       0.00133268      0.00603642      0.00290305      0.0427611      0.00103659      0.0137245      
-19.5       0.00134098      0.00609506      0.00287677      0.0412032      0.00102845      0.0132263      
-19.495       0.00134936      0.00615464      0.00285091      0.0397333      0.00102044      0.0127562      
-19.49       0.00135782      0.00621517      0.00282546      0.0383447      0.00101257      0.0123122      
-19.485       0.00136636      0.00627666      0.00280041      0.0370316      0.00100482      0.0118923      
-19.48       0.00137498      0.00633916      0.00277576      0.0357884      0.000997197      0.0114948      
-19.475       0.00138369      0.00640267      0.00275148      0.0346103      0.000989699      0.011118      
-19.47       0.00139248      0.00646721      0.00272759      0.0334927      0.000982322      0.0107607      
-19.465       0.00140136      0.00653283      0.00270406      0.0324314      0.000975064      0.0104213      
-19.46       0.00141032      0.00659953      0.00268089      0.0314228      0.000967921      0.0100988      
-19.455       0.00141938      0.00666734      0.00265808      0.0304633      0.000960893      0.00979202      
-19.45       0.00142852      0.0067363      0.00263562      0.0295498      0.000953976      0.00949991      
-19.445       0.00143776      0.00680642      0.0026135      0.0286793      0.000947169      0.00922156      
-19.44       0.00144708      0.00687773      0.00259171      0.0278491      0.00094047      0.00895611      
-19.435       0.0014565      0.00695027      0.00257025      0.0270567      0.000933875      0.00870275      
-19.43       0.00146602      0.00702406      0.00254912      0.0262998      0.000927385      0.00846075      
-19.425       0.00147563      0.00709913      0.0025283      0.0255764      0.000920996      0.00822943      
-19.42       0.00148534      0.00717551      0.00250779      0.0248843      0.000914706      0.00800817      
-19.415       0.00149514      0.00725325      0.00248758      0.0242219      0.000908515      0.00779637      
-19.41       0.00150505      0.00733235      0.00246767      0.0235874      0.000902419      0.0075935      
-19.405       0.00151505      0.00741288      0.00244806      0.0229792      0.000896417      0.00739904      
-19.4       0.00152516      0.00749485      0.00242873      0.0223958      0.000890509      0.00721254      
-19.395       0.00153537      0.0075783      0.00240969      0.021836      0.00088469      0.00703356      
-19.39       0.00154569      0.00766328      0.00239092      0.0212984      0.000878961      0.00686169      
-19.385       0.00155612      0.00774982      0.00237242      0.0207819      0.00087332      0.00669655      
-19.38       0.00156665      0.00783796      0.00235419      0.0202852      0.000867764      0.00653778      
-19.375       0.00157729      0.00792775      0.00233623      0.0198075      0.000862293      0.00638507      
-19.37       0.00158804      0.00801922      0.00231852      0.0193478      0.000856905      0.00623809      
-19.365       0.00159891      0.00811242      0.00230106      0.018905      0.000851599      0.00609656      
-19.36       0.00160989      0.0082074      0.00228385      0.0184785      0.000846372      0.0059602      
-19.355       0.00162099      0.0083042      0.00226689      0.0180673      0.000841224      0.00582876      
-19.35       0.0016322      0.00840287      0.00225016      0.0176708      0.000836154      0.00570201      
-19.345       0.00164353      0.00850347      0.00223368      0.0172882      0.000831159      0.00557971      
-19.34       0.00165499      0.00860604      0.00221742      0.0169189      0.000826239      0.00546166      
-19.335       0.00166656      0.00871064      0.00220139      0.0165622      0.000821393      0.00534766      
-19.33       0.00167827      0.00881733      0.00218558      0.0162176      0.000816619      0.00523751      
-19.325       0.00169009      0.00892617      0.00216999      0.0158845      0.000811915      0.00513105      
-19.32       0.00170205      0.0090372      0.00215462      0.0155624      0.000807281      0.00502811      
-19.315       0.00171414      0.00915051      0.00213946      0.0152509      0.000802716      0.00492852      
-19.31       0.00172635      0.00926615      0.00212451      0.0149493      0.000798218      0.00483215      
-19.305       0.0017387      0.00938419      0.00210977      0.0146574      0.000793787      0.00473885      
-19.3       0.00175119      0.00950469      0.00209522      0.0143746      0.000789421      0.00464848      
