#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-20       0.00169006      0.00169006      0.0700983      0.000836565      0.000836565      0.0144868      
-19.995       0.00169737      0.00169737      0.0718761      0.000848549      0.000848549      0.0141824      
-19.99       0.00170482      0.00170482      0.0738038      0.000861371      0.000861371      0.0138875      
-19.985       0.00171241      0.00171241      0.0758927      0.000875094      0.000875094      0.0136017      
-19.98       0.00172014      0.00172014      0.0781557      0.00088979      0.00088979      0.0133247      
-19.975       0.00172801      0.00172801      0.0806072      0.000905538      0.000905538      0.013056      
-19.97       0.00173602      0.00173602      0.0832632      0.00092243      0.00092243      0.0127955      
-19.965       0.00174417      0.00174417      0.0861418      0.000940564      0.000940564      0.0125427      
-19.96       0.00175245      0.00175245      0.0892635      0.000960054      0.000960054      0.0122974      
-19.955       0.00176088      0.00176088      0.0926513      0.000981029      0.000981029      0.0120592      
-19.95       0.00176944      0.00176944      0.096331      0.00100363      0.00100363      0.0118279      
-19.945       0.00177814      0.00177814      0.100332      0.00102803      0.00102803      0.0116032      
-19.94       0.00178697      0.00178697      0.104689      0.0010544      0.0010544      0.0113848      
-19.935       0.00179594      0.00179594      0.109438      0.00108296      0.00108296      0.0111727      
-19.93       0.00180505      0.00180505      0.114625      0.00111396      0.00111396      0.0109664      
-19.925       0.00181429      0.00181429      0.120299      0.00114767      0.00114767      0.0107658      
-19.92       0.00182367      0.00182367      0.126518      0.00118441      0.00118441      0.0105706      
-19.915       0.00183319      0.00183319      0.133349      0.00122456      0.00122456      0.0103808      
-19.91       0.00184285      0.00184285      0.140869      0.00126854      0.00126854      0.0101961      
-19.905       0.00185265      0.00185265      0.149171      0.00131685      0.00131685      0.0100162      
-19.9       0.00186258      0.00186258      0.158359      0.0013701      0.0013701      0.00984112      
-19.895       0.00187266      0.00187266      0.16856      0.00142897      0.00142897      0.0096706      
-19.89       0.00188288      0.00188288      0.179921      0.00149428      0.00149428      0.00950449      
-19.885       0.00189323      0.00189323      0.19262      0.00156702      0.00156702      0.00934265      
-19.88       0.00190373      0.00190373      0.206868      0.00164836      0.00164836      0.00918493      
-19.875       0.00191438      0.00191438      0.222923      0.00173973      0.00173973      0.0090312      
-19.87       0.00192517      0.00192517      0.241094      0.00184284      0.00184284      0.00888131      
-19.865       0.0019361      0.0019361      0.261765      0.00195981      0.00195981      0.00873515      
-19.86       0.00194718      0.00194718      0.285406      0.00209325      0.00209325      0.00859258      
-19.855       0.00195841      0.00195841      0.312606      0.00224643      0.00224643      0.0084535      
-19.85       0.00196978      0.00196978      0.344106      0.00242346      0.00242346      0.00831779      
-19.845       0.00198131      0.00198131      0.38085      0.00262956      0.00262956      0.00818534      
-19.84       0.00199299      0.00199299      0.424056      0.00287148      0.00287148      0.00805605      
-19.835       0.00200482      0.00200482      0.475314      0.00315803      0.00315803      0.00792982      
-19.83       0.0020168      0.0020168      0.536734      0.00350092      0.00350092      0.00780655      
-19.825       0.00202895      0.00202895      0.611159      0.00391588      0.00391588      0.00768615      
-19.82       0.00204125      0.00204125      0.702494      0.00442456      0.00442456      0.00756854      
-19.815       0.00205371      0.00205371      0.81621      0.00505727      0.00505727      0.00745363      
-19.81       0.00206633      0.00206633      0.960158      0.00585752      0.00585752      0.00734133      
-19.805       0.00207911      0.00207911      1.14591      0.00688942      0.00688942      0.00723156      
-19.8       0.00209206      0.00209206      1.39104      0.00825037      0.00825037      0.00712426      
-19.795       0.00210518      0.00210518      1.72321      0.0100936      0.0100936      0.00701935      
-19.79       0.00211847      0.00211847      2.18775      0.0126704      0.0126704      0.00691676      
-19.785       0.00213193      0.00213193      2.86247      0.0164118      0.0164118      0.00681642      
-19.78       0.00214556      0.00214556      3.88819      0.0220982      0.0220982      0.00671826      
-19.775       0.00215936      0.00215936      5.53397      0.0312204      0.0312204      0.00662222      
-19.77       0.00217335      0.00217335      8.33631      0.0467513      0.0467513      0.00652825      
-19.765       0.00218752      0.00218752      13.3317      0.0744342      0.0744342      0.00643628      
-19.76       0.00220187      0.00220187      21.7878      0.121293      0.121293      0.00634626      
-19.755       0.0022164      0.0022164      30.6317      0.170301      0.170301      0.00625813      
-19.75       0.00223112      0.00223112      28.3554      0.157691      0.157691      0.00617183      
-19.745       0.00224604      0.00224604      18.6021      0.103649      0.103649      0.00608733      
-19.74       0.00226114      0.00226114      11.3501      0.063468      0.063468      0.00600457      
-19.735       0.00227645      0.00227645      7.23146      0.0406491      0.0406491      0.0059235      
-19.73       0.00229195      0.00229195      4.8957      0.0277093      0.0277093      0.00584407      
-19.725       0.00230766      0.00230766      3.49663      0.0199599      0.0199599      0.00576625      
-19.72       0.00232357      0.00232357      2.60813      0.0150396      0.0150396      0.00568999      
-19.715       0.00233969      0.00233969      2.01418      0.0117514      0.0117514      0.00561524      
-19.71       0.00235602      0.00235602      1.59972      0.00945789      0.00945789      0.00554198      
-19.705       0.00237256      0.00237256      1.3      0.00780017      0.00780017      0.00547015      
-19.7       0.00238932      0.00238932      1.07671      0.00656596      0.00656596      0.00539973      
