#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-30       0.00276349      0.00197472      0.00332738      0.00276349      0.00197472      0.00332738      
-29.99       0.00276554      0.00197596      0.00333009      0.00276554      0.00197596      0.00333009      
-29.98       0.0027676      0.0019772      0.00333279      0.0027676      0.0019772      0.00333279      
-29.97       0.00276965      0.00197845      0.0033355      0.00276965      0.00197845      0.0033355      
-29.96       0.00277171      0.00197969      0.00333821      0.00277171      0.00197969      0.00333821      
-29.95       0.00277377      0.00198094      0.00334093      0.00277377      0.00198094      0.00334093      
-29.94       0.00277583      0.00198219      0.00334365      0.00277583      0.00198219      0.00334365      
-29.93       0.0027779      0.00198343      0.00334637      0.0027779      0.00198343      0.00334637      
-29.92       0.00277997      0.00198468      0.0033491      0.00277997      0.00198468      0.0033491      
-29.91       0.00278204      0.00198594      0.00335183      0.00278204      0.00198594      0.00335183      
-29.9       0.00278411      0.00198719      0.00335456      0.00278411      0.00198719      0.00335456      
-29.89       0.00278618      0.00198844      0.0033573      0.00278618      0.00198844      0.0033573      
-29.88       0.00278826      0.0019897      0.00336004      0.00278826      0.0019897      0.00336004      
-29.87       0.00279034      0.00199095      0.00336278      0.00279034      0.00199095      0.00336278      
-29.86       0.00279242      0.00199221      0.00336553      0.00279242      0.00199221      0.00336553      
-29.85       0.0027945      0.00199347      0.00336827      0.0027945      0.00199347      0.00336827      
-29.84       0.00279659      0.00199473      0.00337103      0.00279659      0.00199473      0.00337103      
-29.83       0.00279868      0.00199599      0.00337378      0.00279868      0.00199599      0.00337378      
-29.82       0.00280077      0.00199725      0.00337654      0.00280077      0.00199725      0.00337654      
-29.81       0.00280286      0.00199851      0.00337931      0.00280286      0.00199851      0.00337931      
-29.8       0.00280496      0.00199978      0.00338207      0.00280496      0.00199978      0.00338207      
-29.79       0.00280705      0.00200104      0.00338484      0.00280705      0.00200104      0.00338484      
-29.78       0.00280915      0.00200231      0.00338762      0.00280915      0.00200231      0.00338762      
-29.77       0.00281126      0.00200358      0.00339039      0.00281126      0.00200358      0.00339039      
-29.76       0.00281336      0.00200484      0.00339317      0.00281336      0.00200484      0.00339317      
-29.75       0.00281547      0.00200612      0.00339596      0.00281547      0.00200612      0.00339596      
-29.74       0.00281758      0.00200739      0.00339874      0.00281758      0.00200739      0.00339874      
-29.73       0.00281969      0.00200866      0.00340153      0.00281969      0.00200866      0.00340153      
-29.72       0.0028218      0.00200993      0.00340433      0.0028218      0.00200993      0.00340433      
-29.71       0.00282392      0.00201121      0.00340713      0.00282392      0.00201121      0.00340713      
-29.7       0.00282604      0.00201248      0.00340993      0.00282604      0.00201248      0.00340993      
-29.69       0.00282816      0.00201376      0.00341273      0.00282816      0.00201376      0.00341273      
-29.68       0.00283029      0.00201504      0.00341554      0.00283029      0.00201504      0.00341554      
-29.67       0.00283241      0.00201632      0.00341835      0.00283241      0.00201632      0.00341835      
-29.66       0.00283454      0.0020176      0.00342116      0.00283454      0.0020176      0.00342116      
-29.65       0.00283667      0.00201888      0.00342398      0.00283667      0.00201888      0.00342398      
-29.64       0.0028388      0.00202017      0.0034268      0.0028388      0.00202017      0.0034268      
-29.63       0.00284094      0.00202145      0.00342963      0.00284094      0.00202145      0.00342963      
-29.62       0.00284308      0.00202274      0.00343246      0.00284308      0.00202274      0.00343246      
-29.61       0.00284522      0.00202403      0.00343529      0.00284522      0.00202403      0.00343529      
-29.6       0.00284736      0.00202532      0.00343813      0.00284736      0.00202532      0.00343813      
-29.59       0.00284951      0.00202661      0.00344097      0.00284951      0.00202661      0.00344097      
-29.58       0.00285166      0.0020279      0.00344381      0.00285166      0.0020279      0.00344381      
-29.57       0.00285381      0.00202919      0.00344666      0.00285381      0.00202919      0.00344666      
-29.56       0.00285596      0.00203048      0.0034495      0.00285596      0.00203048      0.0034495      
-29.55       0.00285812      0.00203178      0.00345236      0.00285812      0.00203178      0.00345236      
-29.54       0.00286027      0.00203307      0.00345522      0.00286027      0.00203307      0.00345522      
-29.53       0.00286243      0.00203437      0.00345808      0.00286243      0.00203437      0.00345808      
-29.52       0.0028646      0.00203567      0.00346094      0.0028646      0.00203567      0.00346094      
-29.51       0.00286676      0.00203697      0.00346381      0.00286676      0.00203697      0.00346381      
-29.5       0.00286893      0.00203827      0.00346668      0.00286893      0.00203827      0.00346668      
-29.49       0.0028711      0.00203957      0.00346955      0.0028711      0.00203957      0.00346955      
-29.48       0.00287327      0.00204088      0.00347243      0.00287327      0.00204088      0.00347243      
-29.47       0.00287545      0.00204218      0.00347531      0.00287545      0.00204218      0.00347531      
-29.46       0.00287763      0.00204349      0.0034782      0.00287763      0.00204349      0.0034782      
-29.45       0.00287981      0.0020448      0.00348109      0.00287981      0.0020448      0.00348109      
-29.44       0.00288199      0.0020461      0.00348398      0.00288199      0.0020461      0.00348398      
-29.43       0.00288417      0.00204741      0.00348688      0.00288417      0.00204741      0.00348688      
-29.42       0.00288636      0.00204873      0.00348978      0.00288636      0.00204873      0.00348978      
-29.41       0.00288855      0.00205004      0.00349268      0.00288855      0.00205004      0.00349268      
-29.4       0.00289074      0.00205135      0.00349559      0.00289074      0.00205135      0.00349559      
-29.39       0.00289294      0.00205267      0.0034985      0.00289294      0.00205267      0.0034985      
-29.38       0.00289514      0.00205398      0.00350141      0.00289514      0.00205398      0.00350141      
-29.37       0.00289734      0.0020553      0.00350433      0.00289734      0.0020553      0.00350433      
-29.36       0.00289954      0.00205662      0.00350725      0.00289954      0.00205662      0.00350725      
-29.35       0.00290175      0.00205794      0.00351018      0.00290175      0.00205794      0.00351018      
-29.34       0.00290395      0.00205926      0.00351311      0.00290395      0.00205926      0.00351311      
-29.33       0.00290616      0.00206058      0.00351604      0.00290616      0.00206058      0.00351604      
-29.32       0.00290838      0.00206191      0.00351898      0.00290838      0.00206191      0.00351898      
-29.31       0.00291059      0.00206323      0.00352192      0.00291059      0.00206323      0.00352192      
-29.3       0.00291281      0.00206456      0.00352486      0.00291281      0.00206456      0.00352486      
-29.29       0.00291503      0.00206589      0.00352781      0.00291503      0.00206589      0.00352781      
-29.28       0.00291725      0.00206722      0.00353076      0.00291725      0.00206722      0.00353076      
-29.27       0.00291948      0.00206855      0.00353372      0.00291948      0.00206855      0.00353372      
-29.26       0.00292171      0.00206988      0.00353668      0.00292171      0.00206988      0.00353668      
-29.25       0.00292394      0.00207121      0.00353964      0.00292394      0.00207121      0.00353964      
-29.24       0.00292617      0.00207255      0.00354261      0.00292617      0.00207255      0.00354261      
-29.23       0.00292841      0.00207388      0.00354558      0.00292841      0.00207388      0.00354558      
-29.22       0.00293064      0.00207522      0.00354855      0.00293064      0.00207522      0.00354855      
-29.21       0.00293289      0.00207656      0.00355153      0.00293289      0.00207656      0.00355153      
-29.2       0.00293513      0.0020779      0.00355451      0.00293513      0.0020779      0.00355451      
-29.19       0.00293738      0.00207924      0.00355749      0.00293738      0.00207924      0.00355749      
-29.18       0.00293962      0.00208058      0.00356048      0.00293962      0.00208058      0.00356048      
-29.17       0.00294188      0.00208192      0.00356347      0.00294188      0.00208192      0.00356347      
-29.16       0.00294413      0.00208327      0.00356647      0.00294413      0.00208327      0.00356647      
-29.15       0.00294639      0.00208462      0.00356947      0.00294639      0.00208462      0.00356947      
-29.14       0.00294864      0.00208596      0.00357248      0.00294864      0.00208596      0.00357248      
-29.13       0.00295091      0.00208731      0.00357548      0.00295091      0.00208731      0.00357548      
-29.12       0.00295317      0.00208866      0.00357849      0.00295317      0.00208866      0.00357849      
-29.11       0.00295544      0.00209001      0.00358151      0.00295544      0.00209001      0.00358151      
-29.1       0.00295771      0.00209137      0.00358453      0.00295771      0.00209137      0.00358453      
-29.09       0.00295998      0.00209272      0.00358755      0.00295998      0.00209272      0.00358755      
-29.08       0.00296225      0.00209407      0.00359058      0.00296225      0.00209407      0.00359058      
-29.07       0.00296453      0.00209543      0.00359361      0.00296453      0.00209543      0.00359361      
-29.06       0.00296681      0.00209679      0.00359664      0.00296681      0.00209679      0.00359664      
-29.05       0.0029691      0.00209815      0.00359968      0.0029691      0.00209815      0.00359968      
-29.04       0.00297138      0.00209951      0.00360273      0.00297138      0.00209951      0.00360273      
-29.03       0.00297367      0.00210087      0.00360577      0.00297367      0.00210087      0.00360577      
-29.02       0.00297596      0.00210224      0.00360882      0.00297596      0.00210224      0.00360882      
-29.01       0.00297825      0.0021036      0.00361188      0.00297825      0.0021036      0.00361188      
-29       0.00298055      0.00210497      0.00361493      0.00298055      0.00210497      0.00361493      
-28.99       0.00298285      0.00210633      0.003618      0.00298285      0.00210633      0.003618      
-28.98       0.00298515      0.0021077      0.00362106      0.00298515      0.0021077      0.00362106      
-28.97       0.00298745      0.00210907      0.00362413      0.00298745      0.00210907      0.00362413      
-28.96       0.00298976      0.00211044      0.0036272      0.00298976      0.00211044      0.0036272      
-28.95       0.00299207      0.00211182      0.00363028      0.00299207      0.00211182      0.00363028      
-28.94       0.00299438      0.00211319      0.00363336      0.00299438      0.00211319      0.00363336      
-28.93       0.0029967      0.00211457      0.00363645      0.0029967      0.00211457      0.00363645      
-28.92       0.00299901      0.00211594      0.00363954      0.00299901      0.00211594      0.00363954      
-28.91       0.00300133      0.00211732      0.00364263      0.00300133      0.00211732      0.00364263      
-28.9       0.00300366      0.0021187      0.00364573      0.00300366      0.0021187      0.00364573      
-28.89       0.00300598      0.00212008      0.00364883      0.00300598      0.00212008      0.00364883      
-28.88       0.00300831      0.00212146      0.00365193      0.00300831      0.00212146      0.00365193      
-28.87       0.00301064      0.00212285      0.00365504      0.00301064      0.00212285      0.00365504      
-28.86       0.00301298      0.00212423      0.00365816      0.00301298      0.00212423      0.00365816      
-28.85       0.00301531      0.00212562      0.00366127      0.00301531      0.00212562      0.00366127      
-28.84       0.00301765      0.00212701      0.00366439      0.00301765      0.00212701      0.00366439      
-28.83       0.00301999      0.0021284      0.00366752      0.00301999      0.0021284      0.00366752      
-28.82       0.00302234      0.00212979      0.00367065      0.00302234      0.00212979      0.00367065      
-28.81       0.00302469      0.00213118      0.00367378      0.00302469      0.00213118      0.00367378      
-28.8       0.00302704      0.00213257      0.00367692      0.00302704      0.00213257      0.00367692      
-28.79       0.00302939      0.00213397      0.00368006      0.00302939      0.00213397      0.00368006      
-28.78       0.00303174      0.00213536      0.0036832      0.00303174      0.00213536      0.0036832      
-28.77       0.0030341      0.00213676      0.00368635      0.0030341      0.00213676      0.00368635      
-28.76       0.00303646      0.00213816      0.00368951      0.00303646      0.00213816      0.00368951      
-28.75       0.00303883      0.00213956      0.00369266      0.00303883      0.00213956      0.00369266      
-28.74       0.00304119      0.00214096      0.00369582      0.00304119      0.00214096      0.00369582      
-28.73       0.00304356      0.00214236      0.00369899      0.00304356      0.00214236      0.00369899      
-28.72       0.00304594      0.00214377      0.00370216      0.00304594      0.00214377      0.00370216      
-28.71       0.00304831      0.00214517      0.00370533      0.00304831      0.00214517      0.00370533      
-28.7       0.00305069      0.00214658      0.00370851      0.00305069      0.00214658      0.00370851      
-28.69       0.00305307      0.00214799      0.00371169      0.00305307      0.00214799      0.00371169      
-28.68       0.00305545      0.0021494      0.00371488      0.00305545      0.0021494      0.00371488      
-28.67       0.00305784      0.00215081      0.00371807      0.00305784      0.00215081      0.00371807      
-28.66       0.00306023      0.00215222      0.00372126      0.00306023      0.00215222      0.00372126      
-28.65       0.00306262      0.00215364      0.00372446      0.00306262      0.00215364      0.00372446      
-28.64       0.00306502      0.00215505      0.00372766      0.00306502      0.00215505      0.00372766      
-28.63       0.00306741      0.00215647      0.00373087      0.00306741      0.00215647      0.00373087      
-28.62       0.00306981      0.00215789      0.00373408      0.00306981      0.00215789      0.00373408      
-28.61       0.00307222      0.00215931      0.00373729      0.00307222      0.00215931      0.00373729      
-28.6       0.00307462      0.00216073      0.00374051      0.00307462      0.00216073      0.00374051      
-28.59       0.00307703      0.00216215      0.00374374      0.00307703      0.00216215      0.00374374      
-28.58       0.00307944      0.00216357      0.00374696      0.00307944      0.00216357      0.00374696      
