#site     state_i   state_j   OP.real    OP.imag
0       0          0        0.262714        0
0       0          1        2.75551e-10        1.12185e-12
0       0          2        0.121013        -5.77296e-12
0       0          3        -0.234903        1.22375e-11
0       0          4        0.085569        6.06936e-12
0       0          5        0.332204        1.16413e-11
0       1          0        2.75551e-10        -1.12185e-12
0       1          1        1        0
0       1          2        1.86311e-10        5.73621e-12
0       1          3        1.54818e-10        5.8358e-13
0       1          4        1.31742e-10        4.05635e-12
0       1          5        -2.18945e-10        -8.25236e-13
0       2          0        0.121013        5.77296e-12
0       2          1        1.86311e-10        -5.73621e-12
0       2          2        0.397997        0
0       2          3        -0.103803        -5.74134e-11
0       2          4        -0.42568        8.31072e-12
0       2          5        0.1468        -4.32084e-11
0       3          0        -0.234903        -1.22375e-11
0       3          1        1.54818e-10        -5.8358e-13
0       3          2        -0.103803        5.74134e-11
0       3          3        0.879616        0
0       3          4        -0.0733999        4.59019e-11
0       3          5        0.170248        -1.87315e-11
0       4          0        0.085569        -6.06936e-12
0       4          1        1.31742e-10        -4.05635e-12
0       4          2        -0.42568        -8.31072e-12
0       4          3        -0.0733999        -4.59019e-11
0       4          4        0.698999        0
0       4          5        0.103803        -2.30507e-11
0       5          0        0.332204        -1.16413e-11
0       5          1        -2.18945e-10        8.25236e-13
0       5          2        0.1468        4.32084e-11
0       5          3        0.170248        1.87315e-11
0       5          4        0.103803        2.30507e-11
0       5          5        0.759233        0
1       0          0        0.0285431        0
1       0          1        -1.29106e-10        2.71343e-14
1       0          2        0.0977793        -1.55489e-11
1       0          3        0.0314664        8.16889e-11
1       0          4        0.0691404        3.39839e-12
1       0          5        -0.0445002        6.32484e-11
1       1          0        -1.29106e-10        -2.71343e-14
1       1          1        1        0
1       1          2        -1.17442e-09        6.14086e-12
1       1          3        1.88586e-09        -6.47352e-12
1       1          4        -8.30437e-10        4.34246e-12
1       1          5        -2.66701e-09        9.15499e-12
1       2          0        0.0977793        1.55489e-11
1       2          1        -1.17442e-09        -6.14086e-12
1       2          2        0.866106        0
1       2          3        0.169228        -1.3053e-10
1       2          4        -0.0946777        -2.44634e-11
1       2          5        -0.239325        -1.19298e-10
1       3          0        0.0314664        -8.16889e-11
1       3          1        1.88586e-09        6.47352e-12
1       3          2        0.169228        1.3053e-10
1       3          3        0.72458        0
1       3          4        0.119663        1.17654e-10
1       3          5        0.389503        3.20682e-10
1       4          0        0.0691404        -3.39839e-12
1       4          1        -8.30437e-10        -4.34246e-12
1       4          2        -0.0946777        2.44634e-11
1       4          3        0.119663        -1.17654e-10
1       4          4        0.933053        0
1       4          5        -0.169228        -4.84978e-11
1       5          0        -0.0445002        -6.32484e-11
1       5          1        -2.66701e-09        -9.15499e-12
1       5          2        -0.239325        1.19298e-10
1       5          3        0.389503        -3.20682e-10
1       5          4        -0.169228        4.84978e-11
1       5          5        0.44916        0
2       0          0        0.698937        0
2       0          1        -2.05563e-10        5.10363e-11
2       0          2        -0.215805        1.13055e-12
2       0          3        0.204398        -1.29746e-11
2       0          4        -0.152597        -1.47988e-11
2       0          5        -0.289063        -3.47912e-11
2       1          0        -2.05563e-10        -5.10363e-11
2       1          1        1        0
2       1          2        7.08556e-11        -1.03894e-11
