#site     state_i   state_j   OP.real    OP.imag
0       0          0        0.999956        0
0       0          1        -1.29141e-06        4.77415e-07
0       0          2        -7.61611e-07        -7.24899e-08
0       0          3        -2.58441e-05        -2.14956e-09
0       0          4        1.08075e-06        -6.48301e-07
0       0          5        3.60302e-05        3.89784e-09
0       1          0        -1.29141e-06        -4.77415e-07
0       1          1        0.507096        0
0       1          2        -0.288022        7.6771e-09
0       1          3        0.0125851        5.80084e-07
0       1          4        0.407324        -1.72201e-08
0       1          5        0.0088972        -1.63293e-07
0       2          0        -7.61611e-07        7.24899e-08
0       2          1        -0.288022        -7.6771e-09
0       2          2        0.830818        0
0       2          3        -0.00715191        3.08752e-07
0       2          4        0.239214        7.36938e-09
0       2          5        -0.00505736        -5.50255e-07
0       3          0        -2.58441e-05        2.14956e-09
0       3          1        0.0125851        -5.80084e-07
0       3          2        -0.00715191        -3.08752e-07
0       3          3        0.333653        0
0       3          4        0.0101028        5.11155e-07
0       3          5        -0.471147        1.75572e-09
0       4          0        1.08075e-06        6.48301e-07
0       4          1        0.407324        1.72201e-08
0       4          2        0.239214        -7.36938e-09
0       4          3        0.0101028        -5.11155e-07
0       4          4        0.661669        0
0       4          5        0.00714589        -1.96838e-07
0       5          0        3.60302e-05        -3.89784e-09
0       5          1        0.0088972        1.63293e-07
0       5          2        -0.00505736        5.50255e-07
0       5          3        -0.471147        -1.75572e-09
0       5          4        0.00714589        1.96838e-07
0       5          5        0.666804        0
1       0          0        0.999956        0
1       0          1        -1.29141e-06        4.77415e-07
1       0          2        -7.61611e-07        -7.24899e-08
1       0          3        -2.58441e-05        -2.14956e-09
1       0          4        1.08075e-06        -6.48301e-07
1       0          5        3.60302e-05        3.89784e-09
1       1          0        -1.29141e-06        -4.77415e-07
1       1          1        0.507096        0
1       1          2        -0.288022        7.6771e-09
1       1          3        0.0125851        5.80084e-07
1       1          4        0.407324        -1.72201e-08
1       1          5        0.0088972        -1.63293e-07
1       2          0        -7.61611e-07        7.24899e-08
1       2          1        -0.288022        -7.6771e-09
1       2          2        0.830818        0
1       2          3        -0.00715191        3.08752e-07
1       2          4        0.239214        7.36938e-09
1       2          5        -0.00505736        -5.50255e-07
1       3          0        -2.58441e-05        2.14956e-09
1       3          1        0.0125851        -5.80084e-07
1       3          2        -0.00715191        -3.08752e-07
1       3          3        0.333653        0
1       3          4        0.0101028        5.11155e-07
1       3          5        -0.471147        1.75572e-09
1       4          0        1.08075e-06        6.48301e-07
1       4          1        0.407324        1.72201e-08
1       4          2        0.239214        -7.36938e-09
1       4          3        0.0101028        -5.11155e-07
1       4          4        0.661669        0
1       4          5        0.00714589        -1.96838e-07
1       5          0        3.60302e-05        -3.89784e-09
1       5          1        0.0088972        1.63293e-07
1       5          2        -0.00505736        5.50255e-07
1       5          3        -0.471147        -1.75572e-09
1       5          4        0.00714589        1.96838e-07
1       5          5        0.666804        0
2       0          0        0.999956        0
2       0          1        -1.29141e-06        4.77415e-07
2       0          2        -7.61611e-07        -7.24899e-08
2       0          3        -2.58441e-05        -2.14956e-09
2       0          4        1.08075e-06        -6.48301e-07
2       0          5        3.60302e-05        3.89784e-09
2       1          0        -1.29141e-06        -4.77415e-07
2       1          1        0.507096        0
2       1          2        -0.288022        7.6771e-09
2       1          3        0.0125851        5.80084e-07
2       1          4        0.407324        -1.72201e-08
2       1          5        0.0088972        -1.63293e-07
2       2          0        -7.61611e-07        7.24899e-08
2       2          1        -0.288022        -7.6771e-09
2       2          2        0.830818        0
2       2          3        -0.00715191        3.08752e-07
2       2          4        0.239214        7.36938e-09
2       2          5        -0.00505736        -5.50255e-07
2       3          0        -2.58441e-05        2.14956e-09
2       3          1        0.0125851        -5.80084e-07
2       3          2        -0.00715191        -3.08752e-07
2       3          3        0.333653        0
2       3          4        0.0101028        5.11155e-07
2       3          5        -0.471147        1.75572e-09
2       4          0        1.08075e-06        6.48301e-07
2       4          1        0.407324        1.72201e-08
2       4          2        0.239214        -7.36938e-09
2       4          3        0.0101028        -5.11155e-07
2       4          4        0.661669        0
2       4          5        0.00714589        -1.96838e-07
2       5          0        3.60302e-05        -3.89784e-09
2       5          1        0.0088972        1.63293e-07
2       5          2        -0.00505736        5.50255e-07
2       5          3        -0.471147        -1.75572e-09
2       5          4        0.00714589        1.96838e-07
2       5          5        0.666804        0
3       0          0        0.999956        0
3       0          1        -1.29141e-06        4.77415e-07
3       0          2        -7.61611e-07        -7.24899e-08
3       0          3        -2.58441e-05        -2.14956e-09
3       0          4        1.08075e-06        -6.48301e-07
3       0          5        3.60302e-05        3.89784e-09
3       1          0        -1.29141e-06        -4.77415e-07
3       1          1        0.507096        0
3       1          2        -0.288022        7.6771e-09
3       1          3        0.0125851        5.80084e-07
3       1          4        0.407324        -1.72201e-08
3       1          5        0.0088972        -1.63293e-07
3       2          0        -7.61611e-07        7.24899e-08
3       2          1        -0.288022        -7.6771e-09
3       2          2        0.830818        0
3       2          3        -0.00715191        3.08752e-07
3       2          4        0.239214        7.36938e-09
3       2          5        -0.00505736        -5.50255e-07
3       3          0        -2.58441e-05        2.14956e-09
3       3          1        0.0125851        -5.80084e-07
3       3          2        -0.00715191        -3.08752e-07
