#site     state_i   state_j   OP.real    OP.imag
0       0          0        1        0
0       0          1        2.12722e-15        1.10484e-14
0       0          2        9.5838e-08        1.97058e-09
0       0          3        1.91931e-07        -4.06535e-10
0       0          4        1.18375e-07        2.32486e-09
0       0          5        -3.37969e-07        7.15623e-10
0       1          0        2.12722e-15        -1.10484e-14
0       1          1        1        0
0       1          2        -1.2391e-07        -4.29436e-11
0       1          3        3.51663e-08        1.31975e-08
0       1          4        -1.51668e-07        -5.40775e-11
0       1          5        -6.28403e-08        -2.32609e-08
0       2          0        9.5838e-08        -1.97058e-09
0       2          1        -1.2391e-07        4.29436e-11
0       2          2        0.599684        0
0       2          3        -6.21084e-08        -4.82552e-09
0       2          4        -0.489482        6.65171e-11
0       2          5        -1.55885e-07        -3.43273e-09
0       3          0        1.91931e-07        4.06535e-10
0       3          1        3.51663e-08        -1.31975e-08
0       3          2        -6.21084e-08        4.82552e-09
0       3          3        0.756491        0
0       3          4        -1.81651e-07        6.30772e-09
0       3          5        0.428727        3.68554e-10
0       4          0        1.18375e-07        -2.32486e-09
0       4          1        -1.51668e-07        5.40775e-11
0       4          2        -0.489482        -6.65171e-11
0       4          3        -1.81651e-07        -6.30772e-09
0       4          4        0.400131        0
0       4          5        -4.53252e-09        -3.36891e-09
0       5          0        -3.37969e-07        -7.15623e-10
0       5          1        -6.28403e-08        2.32609e-08
0       5          2        -1.55885e-07        3.43273e-09
0       5          3        0.428727        -3.68554e-10
0       5          4        -4.53252e-09        3.36891e-09
0       5          5        0.243693        0
1       0          0        1        0
1       0          1        -1.85187e-15        -5.28482e-15
1       0          2        -4.67494e-07        -3.25581e-09
1       0          3        -7.74403e-08        -7.64348e-10
1       0          4        -5.72894e-07        -3.99054e-09
1       0          5        1.36642e-07        1.34871e-09
1       1          0        -1.85187e-15        5.28482e-15
1       1          1        1        0
1       1          2        4.7545e-08        -1.52909e-10
1       1          3        -1.80742e-07        1.65356e-08
1       1          4        5.82651e-08        -1.87389e-10
1       1          5        3.18901e-07        -2.91755e-08
1       2          0        -4.67494e-07        3.25581e-09
1       2          1        4.7545e-08        1.52909e-10
1       2          2        0.600276        0
1       2          3        -7.38149e-08        1.90392e-08
1       2          4        -0.48984        5.06787e-10
1       2          5        -1.47507e-07        2.06593e-08
1       3          0        -7.74403e-08        7.64348e-10
1       3          1        -1.80742e-07        -1.65356e-08
1       3          2        -7.38149e-08        -1.90392e-08
1       3          3        0.756876        0
1       3          4        -1.82996e-07        -3.19739e-08
1       3          5        0.428969        6.29489e-10
1       4          0        -5.72894e-07        3.99054e-09
1       4          1        5.82651e-08        1.87389e-10
1       4          2        -0.48984        -5.06787e-10
1       4          3        -1.82996e-07        3.19739e-08
1       4          4        0.399723        0
1       4          5        -1.74852e-08        1.00671e-08
1       5          0        1.36642e-07        -1.34871e-09
1       5          1        3.18901e-07        2.91755e-08
1       5          2        -1.47507e-07        -2.06593e-08
1       5          3        0.428969        -6.29489e-10
1       5          4        -1.74852e-08        -1.00671e-08
1       5          5        0.243125        0
2       0          0        1        0
2       0          1        1.64112e-15        1.04258e-15
2       0          2        -2.87356e-07        1.57795e-08
2       0          3        1.33082e-07        3.08104e-09
2       0          4        -3.50814e-07        1.93153e-08
2       0          5        -2.34262e-07        -5.42981e-09
2       1          0        1.64112e-15        -1.04258e-15
2       1          1        1        0
2       1          2        -8.46412e-08        3.3225e-10
2       1          3        -1.13928e-07        -6.37008e-09
2       1          4        -1.03555e-07        4.04614e-10
2       1          5        2.00044e-07        1.12323e-08
2       2          0        -2.87356e-07        -1.57795e-08
2       2          1        -8.46412e-08        -3.3225e-10
2       2          2        0.599684        0
2       2          3        2.53992e-08        1.26531e-08
2       2          4        -0.489482        -1.19559e-09
2       2          5        -3.20193e-08        5.7206e-09
2       3          0        1.33082e-07        -3.08104e-09
2       3          1        -1.13928e-07        6.37008e-09
2       3          2        2.53992e-08        -1.26531e-08
2       3          3        0.756491        0
2       3          4        -9.61333e-09        -1.42119e-08
2       3          5        0.428727        1.46857e-09
2       4          0        -3.50814e-07        -1.93153e-08
2       4          1        -1.03555e-07        -4.04614e-10
2       4          2        -0.489482        1.19559e-09
2       4          3        -9.61333e-09        1.42119e-08
2       4          4        0.400132        0
2       4          5        3.24835e-08        8.89727e-09
2       5          0        -2.34262e-07        5.42981e-09
2       5          1        2.00044e-07        -1.12323e-08
2       5          2        -3.20193e-08        -5.7206e-09
2       5          3        0.428727        -1.46857e-09
2       5          4        3.24835e-08        -8.89727e-09
2       5          5        0.243693        0
3       0          0        1        0
3       0          1        -7.1178e-15        -1.00318e-15
3       0          2        -2.55778e-07        2.54191e-10
3       0          3        6.64283e-08        2.26487e-10
3       0          4        4.50399e-07        -4.32393e-10
3       0          5        8.08568e-08        2.72025e-10
3       1          0        -7.1178e-15        1.00318e-15
3       1          1        1        0
3       1          2        -1.02245e-07        8.29596e-10
3       1          3        -6.03839e-07        -3.65415e-09
3       1          4        1.79174e-07        -1.4614e-09
3       1          5        -7.38541e-07        -4.48006e-09
3       2          0        -2.55778e-07        -2.54191e-10
3       2          1        -1.02245e-07        -8.29596e-10
3       2          2        0.756109        0
3       2          3        1.9562e-09        -2.95338e-08
3       2          4        0.428483        5.45325e-10
3       2          5        2.2235e-08        -4.58026e-08
3       3          0        6.64283e-08        -2.26487e-10
3       3          1        -6.03839e-07        3.65415e-09
3       3          2        1.9562e-09        2.95338e-08
3       3          3        0.599103        0
3       3          4        2.37514e-08        2.85057e-08
3       3          5        -0.489118        7.62196e-10
3       4          0        4.50399e-07        4.32393e-10
3       4          1        1.79174e-07        1.4614e-09
3       4          2        0.428483        -5.45325e-10
3       4          3        2.37514e-08        -2.85057e-08
3       4          4        0.244261        0
3       4          5        -5.87767e-09        -1.6291e-08
3       5          0        8.08568e-08        -2.72025e-10
3       5          1        -7.38541e-07        4.48006e-09
3       5          2        2.2235e-08        4.58026e-08
3       5          3        -0.489118        -7.62196e-10
3       5          4        -5.87767e-09        1.6291e-08
3       5          5        0.400527        0
