#site     state_i   state_j   OP.real    OP.imag
0       0          0        0.000800548        0
0       0          1        8.24565e-11        5.84137e-13
0       0          2        -1.9245e-05        2.12885e-05
0       0          3        -0.000260929        -3.22333e-12
0       0          4        -1.3608e-05        1.50532e-05
0       0          5        0.000369009        1.47198e-12
0       1          0        8.24565e-11        -5.84137e-13
0       1          1        0.647724        0
0       1          2        -0.202425        4.23206e-11
0       1          3        0.0624452        -1.69935e-06
0       1          4        0.286273        -6.56339e-11
0       1          5        0.0441554        -1.20162e-06
0       2          0        -1.9245e-05        -2.12885e-05
0       2          1        -0.202425        -4.23206e-11
0       2          2        0.216191        0
0       2          3        0.0360638        1.13097e-05
0       2          4        -0.305141        3.92851e-12
0       2          5        0.0254774        -1.80758e-05
0       3          0        -0.000260929        3.22333e-12
0       3          1        0.0624452        1.69935e-06
0       3          2        0.0360638        -1.13097e-05
0       3          3        0.652726        0
0       3          4        -0.0509783        -1.00786e-05
0       3          5        0.460981        -2.12061e-12
0       4          0        -1.3608e-05        -1.50532e-05
0       4          1        0.286273        6.56339e-11
0       4          2        -0.305141        -3.92851e-12
0       4          3        -0.0509783        1.00786e-05
0       4          4        0.431958        0
0       4          5        -0.0360638        -1.13097e-05
0       5          0        0.000369009        -1.47198e-12
0       5          1        0.0441554        1.20162e-06
0       5          2        0.0254774        1.80758e-05
0       5          3        0.460981        2.12061e-12
0       5          4        -0.0360638        1.13097e-05
0       5          5        0.326763        0
1       0          0        0.000354883        0
1       0          1        -1.88469e-10        1.19673e-11
1       0          2        9.20534e-06        -5.37319e-06
1       0          3        -3.2881e-05        -3.69225e-12
1       0          4        6.5085e-06        -3.79942e-06
1       0          5        4.65008e-05        -3.26421e-12
1       1          0        -1.88469e-10        -1.19673e-11
1       1          1        0.785708        0
1       1          2        -0.123476        8.75408e-12
1       1          3        -0.0558615        -4.3518e-06
1       1          4        0.174622        -5.07083e-12
1       1          5        -0.0395        -3.07719e-06
1       2          0        9.20534e-06        5.37319e-06
1       2          1        -0.123476        -8.75408e-12
1       2          2        0.261968        0
1       2          3        -0.032257        -5.61468e-06
1       2          4        -0.370341        6.93918e-12
1       2          5        -0.0227978        2.61061e-06
1       3          0        -3.2881e-05        3.69225e-12
1       3          1        -0.0558615        4.3518e-06
1       3          2        -0.032257        5.61468e-06
1       3          3        0.629993        0
1       3          4        0.0456069        -1.35974e-06
1       3          5        0.445222        4.70629e-12
1       4          0        6.5085e-06        3.79942e-06
1       4          1        0.174622        5.07083e-12
1       4          2        -0.370341        -6.93918e-12
1       4          3        0.0456069        1.35974e-06
1       4          4        0.523838        0
1       4          5        0.032257        5.6148e-06
1       5          0        4.65008e-05        3.26421e-12
1       5          1        -0.0395        3.07719e-06
1       5          2        -0.0227978        -2.61061e-06
1       5          3        0.445222        -4.70629e-12
1       5          4        0.032257        -5.6148e-06
1       5          5        0.315174        0
2       0          0        0.000199774        0
2       0          1        7.59378e-12        -4.79598e-12
2       0          2        3.74616e-05        -3.74191e-05
2       0          3        -0.000115082        7.92474e-12
2       0          4        2.64893e-05        -2.64593e-05
2       0          5        0.000162751        -1.43119e-11
2       1          0        7.59378e-12        4.79598e-12
2       1          1        0.930585        0
2       1          2        -0.0393437        1.07528e-10
2       1          3        -0.166967        -4.25646e-07
2       1          4        0.0556404        -1.59344e-10
2       1          5        -0.118063        -3.00977e-07
2       2          0        3.74616e-05        3.74191e-05
2       2          1        -0.0393437        -1.07528e-10
2       2          2        0.310622        0
2       2          3        -0.0964206        -2.18497e-05
2       2          4        -0.438379        -7.31835e-12
2       2          5        -0.0681338        3.03785e-05
2       3          0        -0.000115082        -7.92474e-12
2       3          1        -0.166967        4.25646e-07
2       3          2        -0.0964206        2.18497e-05
2       3          3        0.214236        0
2       3          4        0.136313        1.49285e-05
2       3          5        0.151346        3.32915e-12
2       4          0        2.64893e-05        2.64593e-05
2       4          1        0.0556404        1.59344e-10
2       4          2        -0.438379        7.31835e-12
2       4          3        0.136313        -1.49285e-05
2       4          4        0.620603        0
2       4          5        0.0964206        2.18497e-05
2       5          0        0.000162751        1.43119e-11
2       5          1        -0.118063        3.00977e-07
2       5          2        -0.0681338        -3.03785e-05
2       5          3        0.151346        -3.32915e-12
2       5          4        0.0964206        -2.18497e-05
2       5          5        0.107218        0
3       0          0        2.07248e-06        0
3       0          1        2.15711e-10        8.15089e-12
3       0          2        -1.26096e-07        1.29286e-07
3       0          3        -9.54345e-07        -5.34357e-12
3       0          4        -8.8519e-08        9.14174e-08
3       0          5        1.34964e-06        -3.76185e-12
3       1          0        2.15711e-10        -8.15089e-12
3       1          1        0.793922        0
3       1          2        -0.118965        7.34649e-12
3       1          3        0.0684178        8.49022e-08
3       1          4        0.168243        -8.78227e-13
3       1          5        0.0483787        6.0037e-08
3       2          0        -1.26096e-07        -1.29286e-07
3       2          1        -0.118965        -7.34649e-12
3       2          2        0.264642        0
3       2          3        0.0395011        1.23558e-07
3       2          4        -0.374258        1.75012e-11
3       2          5        0.0279313        -7.09836e-08
3       3          0        -9.54345e-07        5.34357e-12
3       3          1        0.0684178        -8.49022e-08
3       3          2        0.0395011        -1.23558e-07
3       3          3        0.615284        0
3       3          4        -0.0558628        1.65612e-08
3       3          5        0.43507        1.03888e-11
3       4          0        -8.8519e-08        -9.14174e-08
3       4          1        0.168243        8.78227e-13
3       4          2        -0.374258        -1.75012e-11
3       4          3        -0.0558628        -1.65612e-08
3       4          4        0.529282        0
3       4          5        -0.0395011        -1.2366e-07
3       5          0        1.34964e-06        3.76185e-12
3       5          1        0.0483787        -6.0037e-08
3       5          2        0.0279313        7.09836e-08
3       5          3        0.43507        -1.03888e-11
3       5          4        -0.0395011        1.2366e-07
3       5          5        0.307643        0
4       0          0        0.508697        0
4       0          1        -2.29663e-09        5.05341e-12
4       0          2        9.57171e-05        -2.55825e-05
4       0          3        -0.282583        2.35574e-11
4       0          4        6.76849e-05        -1.80896e-05
4       0          5        0.399633        -3.96811e-11
4       1          0        -2.29663e-09        -5.05341e-12
4       1          1        0.00224751        0
4       1          2        -0.000884746        -6.85403e-12
4       1          3        3.48775e-05        -3.82995e-08
4       1          4        0.00125122        1.02747e-12
4       1          5        2.46592e-05        -2.70912e-08
4       2          0        9.57171e-05        2.55825e-05
4       2          1        -0.000884746        6.85403e-12
4       2          2        0.662304        0
4       2          3        -3.53218e-05        -1.47924e-05
4       2          4        0.466731        8.18544e-12
4       2          5        9.26664e-05        2.08724e-05
4       3          0        -0.282583        -2.35574e-11
4       3          1        3.48775e-05        3.82995e-08
4       3          2        -3.53218e-05        1.47924e-05
4       3          3        0.170413        0
4       3          4        -6.76917e-05        1.04135e-05
4       3          5        -0.239205        3.82572e-12
4       4          0        6.76849e-05        1.80896e-05
4       4          1        0.00125122        -1.02747e-12
4       4          2        0.466731        -8.18544e-12
4       4          3        -6.76917e-05        -1.04135e-05
4       4          4        0.332276        0
4       4          5        3.53238e-05        1.47919e-05
4       5          0        0.399633        3.96811e-11
4       5          1        2.46592e-05        2.70912e-08
4       5          2        9.26664e-05        -2.08724e-05
4       5          3        -0.239205        -3.82572e-12
4       5          4        3.53238e-05        -1.47919e-05
4       5          5        0.339556        0
5       0          0        0.00112437        0
5       0          1        3.82626e-10        -4.01422e-12
5       0          2        5.258e-05        -4.55464e-05
5       0          3        -0.000442667        -2.79028e-12
5       0          4        3.718e-05        -3.22062e-05
5       0          5        0.000626025        1.05083e-11
5       1          0        3.82626e-10        4.01422e-12
5       1          1        0.641671        0
5       1          2        -0.205185        -4.3388e-11
5       1          3        -0.0829189        -6.60433e-06
5       1          4        0.290175        3.93219e-11
5       1          5        -0.0586325        -4.66998e-06
5       2          0        5.258e-05        4.55464e-05
5       2          1        -0.205185        4.3388e-11
5       2          2        0.214409        0
5       2          3        -0.0479034        -3.01092e-05
5       2          4        -0.302122        7.36402e-12
5       2          5        -0.0338085        3.44924e-05
5       3          0        -0.000442667        2.79028e-12
5       3          1        -0.0829189        6.60433e-06
5       3          2        -0.0479034        3.01092e-05
5       3          3        0.646386        0
5       3          4        0.0676813        1.3202e-05
5       3          5        0.456269        1.06688e-11
5       4          0        3.718e-05        3.22062e-05
5       4          1        0.290175        -3.93219e-11
5       4          2        -0.302122        -7.36402e-12
5       4          3        0.0676813        -1.3202e-05
5       4          4        0.428041        0
5       4          5        0.0479034        3.01092e-05
5       5          0        0.000626025        -1.05083e-11
5       5          1        -0.0586325        4.66998e-06
5       5          2        -0.0338085        -3.44924e-05
5       5          3        0.456269        -1.06688e-11
5       5          4        0.0479034        -3.01092e-05
5       5          5        0.323755        0
6       0          0        0.498889        0
6       0          1        1.2701e-10        2.11369e-11
6       0          2        -3.79704e-05        3.86242e-05
6       0          3        -0.28802        6.90623e-11
6       0          4        -2.68491e-05        2.73114e-05
6       0          5        0.407322        -9.92943e-11
6       1          0        1.2701e-10        -2.11369e-11
6       1          1        0.00294056        0
6       1          2        -0.00128778        -1.98339e-12
6       1          3        -4.66536e-06        -6.46958e-09
6       1          4        0.00182119        -1.16834e-11
6       1          5        -3.29876e-06        -4.60501e-09
6       2          0        -3.79704e-05        -3.86242e-05
6       2          1        -0.00128778        1.98339e-12
6       2          2        0.666507        0
6       2          3        1.95941e-05        2.22959e-05
6       2          4        0.469212        3.27261e-12
6       2          5        -3.34246e-05        -3.15404e-05
6       3          0        -0.28802        -6.90623e-11
6       3          1        -4.66536e-06        6.46958e-09
6       3          2        1.95941e-05        -2.22959e-05
6       3          3        0.167257        0
6       3          4        1.95691e-05        -1.57748e-05
6       3          5        -0.234499        1.23238e-12
6       4          0        -2.68491e-05        -2.73114e-05
6       4          1        0.00182119        1.16834e-11
6       4          2        0.469212        -3.27261e-12
6       4          3        1.95691e-05        1.57748e-05
6       4          4        0.334724        0
6       4          5        -1.95944e-05        -2.22959e-05
6       5          0        0.407322        9.92943e-11
6       5          1        -3.29876e-06        4.60501e-09
6       5          2        -3.34246e-05        3.15404e-05
